E RHE	ph1 HER	pH2 HER	ph3 HER	pH1 FF	pH 2 FF	pH 3 FF	ph 1.5 HER	pH1.5 FF				
-0.927		-1.2125			-1.1435		-3.1415	-3.4415				
-0.932		-1.228			-1.159		-3.1775	-3.475				
-0.937		-1.2355			-1.1665		-3.2135	-3.5185				
-0.942		-1.251			-1.174		-3.249	-3.5365				
-0.947		-1.2585			-1.182		-3.2875	-3.602				
-0.952		-1.274			-1.197		-3.3225	-3.6315				
-0.957		-1.2815			-1.205		-3.3585	-3.665				
-0.962		-1.297			-1.22		-3.3955	-3.7115				
-0.967		-1.3045			-1.228		-3.4315	-3.7445				
-0.972		-1.32			-1.2355		-3.469	-3.7785				
-0.977		-1.3275			-1.251		-3.504	-3.8115				
-0.982		-1.343			-1.251		-3.54	-3.8345				
-0.987		-1.3505			-1.266		-3.576	-3.8685				
-0.992		-1.366			-1.2815		-3.612	-3.917				
-0.997		-1.3735			-1.2815		-3.6505	-3.943				
-1.002		-1.389			-1.297		-3.6855	-3.979				
